id,EAP,HPL,MWS
id02310,0.016106432303786278,0.00504734693095088,0.9788461923599243
id24541,0.9983056783676147,0.001199945341795683,4.94321808218956e-4
id00134,0.007370839361101389,0.9918837547302246,7.453344296664e-4
id27757,0.8475064635276794,0.13930049538612366,0.013193045742809772
id04081,0.7359841465950012,0.08685535937547684,0.17716051638126373
id27337,0.9862629175186157,0.008045483380556107,0.005691581405699253
id24265,0.9729370474815369,0.02063533291220665,0.006427560467272997
id25917,0.0033802459947764874,0.030086250975728035,0.9665334820747375
id04951,0.9994008541107178,3.7419868749566376e-4,2.2494839504361153e-4
id14549,0.9344633221626282,0.007321034092456102,0.0582156665623188
id22505,0.0014354197774082422,0.004980181809514761,0.9935844540596008
id24002,4.254903760738671e-4,0.9992628693580627,3.1165691325441003e-4
id18982,0.13443657755851746,0.25355470180511475,0.6120087504386902
id15181,0.0037981451023370028,0.9956271648406982,5.74665900785476e-4
id21888,0.7240177989006042,0.02535434626042843,0.2506278455257416
id12035,0.0027953118551522493,2.464856079313904e-4,0.9969582557678223
id17991,0.40059393644332886,0.017938561737537384,0.5814674496650696
id10707,0.9992699027061462,4.749232030007988e-4,2.551887882873416e-4
id07101,0.5258098244667053,0.020638780668377876,0.45355141162872314
id00345,0.2272605448961258,0.7644665241241455,0.008272923529148102
id05912,0.891471803188324,0.040727317333221436,0.06780087202787399
id13443,0.9121758341789246,0.012794735841453075,0.07502946257591248
id09248,0.48085683584213257,0.06644485890865326,0.452698290348053
id17542,0.029263855889439583,0.9569230079650879,0.013813096098601818
id06995,0.018383584916591644,4.335312405601144e-4,0.9811828136444092
id25159,0.5200084447860718,0.028967583552002907,0.45102399587631226
id25729,0.5487172603607178,0.3714558184146881,0.07982693612575531
id26949,0.961523175239563,0.02524268440902233,0.013234182260930538
id27191,0.01736895553767681,0.005939272698014975,0.976691722869873
id07668,0.733462929725647,0.0021239386405795813,0.26441317796707153
id02230,0.016780881211161613,0.1850021928548813,0.7982169389724731
id15553,0.9984353184700012,3.355901571922004e-4,0.0012290846789255738
id25688,6.50935631711036e-4,0.9990184307098389,3.3058327971957624e-4
id17545,0.9754953980445862,0.016983995214104652,0.007520613260567188
id13929,0.23532627522945404,0.2124919593334198,0.5521817803382874
id12880,0.01270437054336071,0.9714478850364685,0.015847694128751755
id19282,0.5415380001068115,0.27544763684272766,0.18301434814929962
id14690,0.004999926313757896,5.278260796330869e-4,0.9944722056388855
id17975,0.014846893027424812,0.9783995747566223,0.006753509398549795
id08037,0.9947277903556824,0.00197617313824594,0.0032959962263703346
id15412,0.19813257455825806,0.0034108469262719154,0.798456609249115
id25032,0.4913756549358368,0.08893345296382904,0.4196908175945282
id27165,0.9965783953666687,0.0018047697376459837,0.0016168613219633698
id03327,0.9066253304481506,0.06302371621131897,0.030350975692272186
id18515,0.9501869082450867,0.0027483568992465734,0.04706480726599693
id21003,0.07880082726478577,0.01973452791571617,0.9014646410942078
id23855,4.112072929274291e-4,0.9961102604866028,0.0034785966854542494
id20724,0.6796759963035583,0.077232226729393,0.24309176206588745
id13303,0.7584815621376038,0.018049174919724464,0.22346924245357513
id16521,0.005709097255021334,0.8301414251327515,0.1641494631767273
id20775,0.9988698363304138,3.793913347180933e-4,7.507752161473036e-4
id13029,0.999539852142334,2.1636599558405578e-4,2.4386077711824328e-4
id14660,0.7222542762756348,0.26073458790779114,0.017011139541864395
id11028,6.767174345441163e-4,1.3536593178287148e-4,0.9991878867149353
id14180,0.9860825538635254,0.010228500701487064,0.0036890264600515366
id25860,0.9996325969696045,1.843556819949299e-4,1.8304736295249313e-4
id11910,0.1483200639486313,0.017225466668605804,0.8344544768333435
id08065,0.11737257987260818,0.05938117206096649,0.8232463002204895
id22674,0.0017224301118403673,5.074091604910791e-4,0.9977701902389526
id25018,0.37187424302101135,0.009081116877496243,0.6190446019172668
id10892,0.001872996799647808,0.9978514909744263,2.755332097876817e-4
id10217,0.0167755875736475,0.9819473028182983,0.0012770434841513634
id12996,0.2822199761867523,0.04170389473438263,0.6760760545730591
id18262,0.877942681312561,0.09046708792448044,0.03159026429057121
id08606,6.75064162351191e-4,0.9991642236709595,1.6077265900094062e-4
id17233,0.7507144212722778,0.017645565792918205,0.2316400110721588
id00101,0.5748237371444702,0.37218981981277466,0.052986450493335724
id12225,0.8767786622047424,0.06417049467563629,0.0590507872402668
id01364,0.009076248854398727,0.9888901710510254,0.0020335677545517683
id24973,0.7557700872421265,0.011610282585024834,0.23261965811252594
id25363,0.7213847041130066,0.001984936650842428,0.2766304016113281
id10061,0.22031289339065552,0.02871316485106945,0.7509739398956299
id17673,0.10758884251117706,0.6998374462127686,0.19257372617721558
id13249,0.2089611291885376,0.06088503822684288,0.7301537990570068
id10107,0.011334465816617012,0.005091688130050898,0.9835737943649292
id04403,0.9828258156776428,0.0019029193790629506,0.015271267853677273
id25728,0.9146795868873596,0.03096892312169075,0.054351504892110825
id16184,0.19201329350471497,0.08352438360452652,0.7244623303413391
id03438,0.017688466235995293,4.2506237514317036e-4,0.9818865060806274
id22923,2.8008781373500824e-4,0.9996559619903564,6.389821646735072e-5
id08610,0.9971805810928345,0.0015849396586418152,0.001234488794580102
id25355,0.0790335163474083,0.012566815130412579,0.9083997011184692
